Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion
31.08267903,0.02853966,0.0511361,6.82411668,7.96763858,-14.35%
31.43589129,0.03455352,0.0500675,6.89324246,8.07914406,-14.68%
31.78910355,0.03881168,0.04902486,6.96214997,8.19149308,-15.01%
32.14231582,0.04049658,0.04796492,7.03079356,8.30470391,-15.34%
32.49552808,0.03909301,0.04683279,7.09911448,8.41879519,-15.68%
32.84874034,0.0344959,0.04556786,7.16704671,8.53378602,-16.02%
33.2019526,0.02707139,0.04411099,7.23452475,8.64969592,-16.36%
33.55516486,0.01765368,0.04241254,7.3014927,8.76654487,-16.71%
33.90837712,0.00746633,0.04043982,7.36791345,8.88435331,-17.07%
34.26158939,-0.00203335,0.03818294,7.43377654,9.00314219,-17.43%
34.61480165,-0.00937635,0.03565757,7.49910297,9.12293293,-17.80%
34.96801391,-0.01335155,0.03290341,7.56394508,9.24374748,-18.17%
35.32122617,-0.01329703,0.02997736,7.62838003,9.36560833,-18.55%
