Y Angle (deg),Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion
31.08267903,0.00368225,0.03884835,6.78910586,7.93377956,-14.43%
31.43589129,0.00862869,0.03741101,6.85758038,8.04481119,-14.76%
31.78910355,0.0118194,0.03598393,6.92581776,8.15668278,-15.09%
32.14231582,0.01241861,0.03452329,6.99377096,8.26941251,-15.43%
32.49552808,0.0098793,0.03297309,7.06137899,8.38301895,-15.77%
32.84874034,0.00405182,0.0312708,7.12857252,8.49752112,-16.11%
33.2019526,-0.00475228,0.02935443,7.19528149,8.61293845,-16.46%
33.55516486,-0.015759,0.02717042,7.2614441,8.72929084,-16.82%
33.90837712,-0.02780469,0.02468116,7.32701604,8.84659865,-17.18%
34.26158939,-0.03948495,0.02187091,7.39197847,8.96488272,-17.55%
34.61480165,-0.04936894,0.01874878,7.45634314,9.08416441,-17.92%
34.96801391,-0.05626266,0.0153476,7.52015271,9.20446555,-18.30%
35.32122617,-0.05949295,0.01171747,7.58347471,9.32580854,-18.68%
